,0
1076,10
1077,7
1078,10
1079,7
1080,10
1081,10
1082,10
1083,10
1084,10
1085,8
1086,10
1087,0
1088,2
1089,5
1090,8
1091,5
1092,7
1093,5
1094,9
1095,5
1096,11
1097,5
1098,7
1099,0
1100,5
1101,1
1102,1
1103,0
1104,3
1105,7
1106,9
1107,1
1108,3
1109,0
1110,8
1111,0
1112,8
1113,0
1114,0
1115,3
1116,9
1117,7
1118,5
1119,9
1120,5
1121,4
1122,0
1123,0
1124,10
1125,5
1126,0
1127,5
1128,5
1129,0
1130,0
1131,5
1132,5
1133,9
1134,1
1135,5
1136,0
1137,10
1138,7
1139,6
1140,5
1141,5
1142,10
1143,1
1144,9
1145,0
1146,3
1147,11
1148,11
1149,7
1150,3
1151,8
1152,10
1153,1
1154,8
1155,9
1156,1
1157,11
1158,5
1159,7
1160,1
1161,8
1162,7
1163,11
1164,5
1165,10
1166,6
1167,10
1168,9
1169,0
1170,11
1171,10
1172,6
1173,11
1174,10
1175,6
1176,10
1177,8
1178,1
1179,0
1180,8
1181,6
1182,9
1183,10
1184,3
1185,9
1186,5
1187,10
1188,2
1189,4
1190,3
1191,2
1192,2
1193,10
1194,9
1195,6
1196,9
1197,4
1198,1
1199,10
1200,10
1201,2
1202,2
1203,4
1204,9
1205,2
1206,4
1207,5
1208,5
1209,5
1210,3
1211,3
1212,4
1213,4
1214,1
1215,2
1216,9
1217,6
1218,5
1219,4
1220,9
1221,4
1222,4
1223,10
1224,10
1225,1
1226,2
1227,4
1228,3
1229,9
1230,10
1231,10
1232,11
1233,3
1234,4
1235,3
1236,3
1237,5
1238,2
1239,10
1240,10
1241,2
1242,11
1243,0
1244,4
1245,3
1246,4
1247,9
1248,9
1249,6
1250,0
1251,6
1252,6
1253,6
1254,4
1255,4
1256,3
1257,6
1258,11
1259,11
1260,11
1261,11
1262,2
1263,2
1264,9
1265,6
1266,6
1267,6
1268,6
1269,6
1270,4
1271,4
1272,3
1273,3
1274,3
1275,3
1276,11
1277,2
1278,11
1279,2
1280,9
1281,9
1282,9
1283,6
1284,6
1285,6
1286,4
1287,4
1288,3
1289,3
1290,3
1291,3
1292,11
1293,11
1294,11
1295,2
1296,9
1297,2
1298,9
1299,9
1300,9
1301,2
1302,2
1303,2
1304,8
1305,8
1306,0
1307,0
1308,0
1309,6
1310,11
1311,7
1312,4
1313,8
1314,0
1315,0
1316,7
1317,6
1318,6
1319,1
1320,1
1321,1
1322,1
1323,7
1324,7
1325,11
1326,11
1327,11
1328,1
1329,2
1330,8
1331,8
1332,8
1333,0
1334,6
1335,11
1336,8
1337,8
1338,0
1339,0
1340,6
1341,6
1342,6
1343,7
1344,1
1345,1
1346,1
1347,1
1348,7
1349,8
1350,11
1351,11
1352,11
1353,2
1354,2
1355,8
1356,8
1357,7
1358,1
1359,6
1360,10
1361,4
1362,10
1363,6
1364,5
1365,4
1366,4
1367,10
1368,10
1369,2
1370,9
1371,2
1372,2
1373,9
1374,9
1375,5
1376,1
1377,4
1378,1
1379,1
1380,4
1381,9
1382,4
1383,4
1384,3
1385,3
1386,10
1387,10
1388,2
1389,10
1390,3
1391,10
1392,4
1393,1
1394,4
1395,4
1396,10
1397,3
1398,8
1399,1
1400,10
1401,4
1402,3
1403,3
1404,2
1405,1
1406,2
1407,1
1408,2
1409,5
1410,5
1411,9
1412,4
1413,2
1414,9
1415,8
1416,8
1417,8
1418,10
1419,2
